Song,Artist
Beggin',Måneskin
STAY (with Justin Bieber),The Kid LAROI
good 4 u,Olivia Rodrigo
Bad Habits,Ed Sheeran
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
MONTERO (Call Me By Your Name),Lil Nas X
Kiss Me More (feat. SZA),Doja Cat
Todo De Ti,Rauw Alejandro
Yonaguni,Bad Bunny
I WANNA BE YOUR SLAVE,Måneskin
Levitating (feat. DaBaby),Dua Lipa
Qué Más Pues?,"J Balvin, Maria Becerra"
Permission to Dance,BTS
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Butter,BTS
traitor,Olivia Rodrigo
deja vu,Olivia Rodrigo
Save Your Tears (with Ariana Grande) (Remix),The Weeknd
AM Remix,"Nio Garcia, J Balvin, Bad Bunny"
Need To Know,Doja Cat
Volando - Remix,"Mora, Bad Bunny, Sech"
Ain't Shit,Doja Cat
drivers license,Olivia Rodrigo
Heat Waves,Glass Animals
Blinding Lights,The Weeknd
happier,Olivia Rodrigo
Pepas,Farruko
Motley Crew,Post Malone
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers"
Astronaut In The Ocean,Masked Wolf
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic"
Don't Go Yet,Camila Cabello
favorite crime,Olivia Rodrigo
Pareja Del Año,"Sebastian Yatra, Myke Towers"
Watermelon Sugar,Harry Styles
NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI
RAPSTAR,Polo G
You Right,"Doja Cat, The Weeknd"
911 - Remix,"Sech, Jhay Cortez"
DÁKITI,"Bad Bunny, Jhay Cortez"
Miénteme,"TINI, Maria Becerra"
"jealousy, jealousy",Olivia Rodrigo
Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander"
Dynamite,BTS
The Business,Tiësto
Heartbreak Anthem (with David Guetta & Little Mix),Galantis
Mood (feat. iann dior),24kGoldn
Entre Nosotros,"Tiago PZK, LIT killah"
Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers"
Build a Bitch,Bella Poarch
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam"
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
NDA,Billie Eilish
Rasputin,"Majestic, Boney M."
Leave Before You Love Me (with Jonas Brothers),Marshmello
Freaks,Surf Curse
Meu Pedaço de Pecado,João Gomes
2/Catorce,"Rauw Alejandro, Mr. Naisgai"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Run,OneRepublic
Thot Shit,Megan Thee Stallion
Your Love (9PM),"ATB, Topic, A7S"
brutal,Olivia Rodrigo
Save Your Tears,The Weeknd
Heartbreak Anniversary,Giveon
Don't Start Now,Dua Lipa
Dinero,Trinidad Cardona
Sweater Weather,The Neighbourhood
Sobrio,Maluma
Someone You Loved,Lewis Capaldi
Over The Top (feat. Drake),Smiley
2055,Sleepy Hallow
EL MAKINON,"KAROL G, Mariah Angeliq"
Loco,"Justin Quiles, Chimbala, Zion & Lennox"
Love Tonight - Edit,Shouse
ZITTI E BUONI,Måneskin
telepatía,Kali Uchis
Botella Tras Botella,"Gera MX, Christian Nodal"
Fiel,"Los Legendarios, Wisin, Jhay Cortez"
Dance Monkey,Tones And I
WITHOUT YOU,The Kid LAROI
Wants and Needs (feat. Lil Baby),Drake
Bezos I,Bo Burnham
Love Again,Dua Lipa
Goosebumps - Remix,"Travis Scott, HVME"
Head & Heart (feat. MNEK),Joel Corry
BED,"Joel Corry, RAYE, David Guetta"
Iko Iko (My Bestie),"Justin Wellington, Small Jam"
Better Believe,"Belly, The Weeknd, Young Thug"
Arcade,Duncan Laurence
512,"Mora, Jhay Cortez"
positions,Ariana Grande
Circles,Post Malone
Blaues Licht,"RAF Camora, Bonez MC"
Ram Pam Pam,"Natti Natasha, Becky G"
In Da Getto,"J Balvin, Skrillex"
Woman,Doja Cat
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
Clash (feat. Stormzy),Dave
Before You Go,Lewis Capaldi
Levitating,Dua Lipa
Reckless,Madison Beer
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO
Believer,Imagine Dragons
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
Talking to the Moon,Bruno Mars
Roses - Imanbek Remix,SAINt JHN
Sal y Perrea,Sech
